,number,value,datetime_start,datetime_complete,duration,params_dim_hidden,params_n_layers,params_w0,state
71,71,0.0880131870508194,2022-12-13 20:39:01.956343,2022-12-13 20:40:00.517327,0 days 00:00:58.560984,256,5,4.620422177373566,COMPLETE
72,72,0.04010715335607529,2022-12-13 20:40:00.546677,2022-12-13 20:41:04.577604,0 days 00:01:04.030927,256,4,14.484632754721298,COMPLETE
73,73,0.03418044000864029,2022-12-13 20:41:04.631195,2022-12-13 20:42:17.233663,0 days 00:01:12.602468,256,4,8.887846665413043,COMPLETE
74,74,0.03407576307654381,2022-12-13 20:42:17.264182,2022-12-13 20:43:24.647027,0 days 00:01:07.382845,256,4,8.745681532264431,COMPLETE
75,75,0.03337759152054787,2022-12-13 20:43:24.673286,2022-12-13 20:44:29.395434,0 days 00:01:04.722148,256,4,8.724596131140101,COMPLETE
76,76,0.08918599784374237,2022-12-13 20:44:29.421231,2022-12-13 20:45:27.907817,0 days 00:00:58.486586,256,4,3.094272974418711,COMPLETE
77,77,0.04126625880599022,2022-12-13 20:45:27.935994,2022-12-13 20:46:24.420520,0 days 00:00:56.484526,256,5,12.181208697038068,COMPLETE
78,78,0.03347862884402275,2022-12-13 20:46:24.450166,2022-12-13 20:47:22.624043,0 days 00:00:58.173877,256,4,9.574216767519609,COMPLETE
79,79,0.04045766592025757,2022-12-13 20:47:22.725966,2022-12-13 20:48:32.516394,0 days 00:01:09.790428,256,4,17.455135484079776,COMPLETE
80,80,0.04432284086942673,2022-12-13 20:48:32.543996,2022-12-13 20:49:37.297826,0 days 00:01:04.753830,256,4,5.467627456759944,COMPLETE
81,81,0.0339527390897274,2022-12-13 20:49:37.399192,2022-12-13 20:50:47.521311,0 days 00:01:10.122119,256,4,8.58680779585396,COMPLETE
82,82,0.0843934640288353,2022-12-13 20:50:47.547104,2022-12-13 20:51:53.066998,0 days 00:01:05.519894,256,4,2.3400761529070904,COMPLETE
83,83,0.035188935697078705,2022-12-13 20:51:53.101024,2022-12-13 20:52:53.418500,0 days 00:01:00.317476,256,4,8.165280263536154,COMPLETE
84,84,0.03427315130829811,2022-12-13 20:52:53.445945,2022-12-13 20:53:48.887201,0 days 00:00:55.441256,256,4,13.762669767800245,COMPLETE
85,85,0.04071982949972153,2022-12-13 20:53:48.917285,2022-12-13 20:54:43.753487,0 days 00:00:54.836202,256,4,11.469811551570567,COMPLETE
86,86,0.0338863767683506,2022-12-13 20:54:43.778464,2022-12-13 20:55:36.478194,0 days 00:00:52.699730,256,4,19.61529036920553,COMPLETE
